id_venta,fecha_hora,monto_total,id_producto,id_cliente
216,2023/03/07,2301,34,48
217,2023/03/08,2856,89,49
218,2023/03/10,2344,80,27
219,2023/03/10,500,12,4
220,2023/03/11,2583,85,70
221,2023/03/12,912,66,64
222,2023/03/13,20,23,36
223,2023/03/14,1486,43,19
224,2023/03/15,1486,43,48
225,2023/03/17,404,65,58
226,2023/03/18,4732,29,59
227,2023/03/18,1449,52,60
228,2023/03/19,4106,53,21
229,2023/03/20,544,58,33
230,2023/03/21,2512,76,51
231,2023/03/22,544,58,71
232,2023/03/23,4186,56,21
233,2023/03/25,277,75,69
234,2023/03/26,3669,35,21
235,2023/03/26,1913,77,33
236,2023/03/27,2856,89,42
237,2023/03/28,2701,57,66
238,2023/03/30,50,22,59
239,2023/03/30,552,63,72
240,2023/04/01,900,10,63
241,2023/04/01,293,37,40
242,2023/04/02,4186,56,31
243,2023/04/03,20,23,44
244,2023/04/05,1526,64,33
245,2023/04/05,505,59,73
246,2023/04/06,2008,60,74
247,2023/04/08,1526,64,35
248,2023/04/08,293,37,68
249,2023/04/09,2008,60,58
250,2023/04/11,1800,8,13
251,2023/04/11,912,66,7
252,2023/04/12,308,40,39
253,2023/04/13,2301,34,58
254,2023/04/15,1800,8,17
255,2023/04/15,2500,16,72
256,2023/04/16,2543,78,41
257,2023/04/17,300,25,9
258,2023/04/18,452,73,2
259,2023/04/20,3396,44,54
260,2023/04/20,25,21,34
261,2023/04/21,1200,4,69
262,2023/04/22,1200,13,65
263,2023/04/24,3396,44,67
264,2023/04/24,2301,34,53
265,2023/04/25,900,10,21
266,2023/04/26,1526,64,4
267,2023/04/27,1957,50,6
268,2023/04/28,2701,57,30
269,2023/04/29,20,23,49
270,2023/04/30,3198,69,53
271,2023/05/01,2313,91,42
272,2023/05/02,1800,8,24
273,2023/05/03,1449,52,70
274,2023/05/05,4876,32,65
275,2023/05/05,4540,93,15
276,2023/05/06,2583,85,4
277,2023/05/07,1712,31,46
278,2023/05/09,4944,49,29
279,2023/05/09,1503,39,57
280,2023/05/11,452,73,20
281,2023/05/11,2583,85,1
282,2023/05/13,2512,76,58
283,2023/05/13,2500,2,56
284,2023/05/14,2296,79,38
285,2023/05/15,3424,55,26
286,2023/05/16,912,66,50
287,2023/05/17,3669,35,18
288,2023/05/19,1409,95,18
289,2023/05/19,4186,56,42
290,2023/05/21,509,28,50
291,2023/05/22,1915,71,47
292,2023/05/22,2512,76,60
293,2023/05/24,1200,17,11
294,2023/05/25,4434,84,59
295,2023/05/26,1171,88,69
296,2023/05/26,2981,70,16
297,2023/05/27,4876,32,16
298,2023/05/28,505,59,25
299,2023/05/30,4876,32,18
300,2023/05/30,308,40,55
301,2023/05/31,3396,44,15
302,2023/06/01,3816,48,50
303,2023/06/02,1084,47,31
304,2023/06/04,1449,52,21
305,2023/06/04,700,14,65
306,2023/06/05,1200,17,14
307,2023/06/07,1074,90,12
308,2023/06/08,1688,54,52
309,2023/06/09,400,92,26
310,2023/06/10,3816,48,42
311,2023/06/11,4000,3,39
312,2023/06/11,2583,85,29
313,2023/06/12,4978,36,52
314,2023/06/14,4540,93,61
315,2023/06/15,800,11,65
316,2023/06/15,4889,86,60
317,2023/06/17,422,87,7
318,2023/06/17,200,5,72
319,2023/06/18,2344,80,68
320,2023/06/19,4000,3,69
321,2023/06/20,452,73,39
322,2023/06/22,858,30,52
323,2023/06/23,509,28,32
324,2023/06/23,1526,64,40
325,2023/06/24,2905,61,15
326,2023/06/26,404,65,39
327,2023/06/26,3816,48,6
328,2023/06/28,509,28,36
329,2023/06/28,400,92,21
330,2023/06/30,2583,85,43
331,2023/06/30,2512,76,66
332,2023/07/01,2296,79,55
333,2023/07/03,2543,78,70
334,2023/07/03,150,6,55
335,2023/07/05,100,24,50
336,2023/07/06,4434,84,16
337,2023/07/06,1409,95,18
338,2023/07/07,2486,27,46
339,2023/07/09,1200,17,27
340,2023/07/09,900,10,27
341,2023/07/10,2141,68,29
342,2023/07/12,30,19,37
343,2023/07/12,2981,70,58
344,2023/07/13,900,10,14
345,2023/07/14,544,58,43
346,2023/07/15,1913,77,50
347,2023/07/17,1688,54,61
348,2023/07/17,2724,62,66
349,2023/07/19,2270,26,34
350,2023/07/19,20,23,24
351,2023/07/20,30,19,65
352,2023/07/21,1915,71,41
353,2023/07/23,4186,56,32
354,2023/07/23,858,30,28
355,2023/07/24,2296,79,75
356,2023/07/26,509,28,57
357,2023/07/26,4540,93,61
358,2023/07/27,1409,95,34
359,2023/07/28,2512,76,4
360,2023/07/29,293,37,48
361,2023/07/31,4876,32,33
362,2023/07/31,3000,9,52
363,2023/08/01,1074,90,64
364,2023/08/03,2344,80,38
365,2023/08/03,20,23,70
366,2023/08/04,2500,16,48
367,2023/08/05,1800,8,11
368,2023/08/07,3953,33,72
369,2023/08/08,988,82,52
370,2023/08/09,4149,38,67
371,2023/08/10,700,14,39
372,2023/08/10,50,22,75
373,2023/08/11,1957,50,33
374,2023/08/12,100,24,54
375,2023/08/14,2296,79,21
376,2023/08/14,716,72,2
377,2023/08/15,2856,89,41
378,2023/08/16,1957,50,25
379,2023/08/18,4095,46,28
380,2023/08/18,1200,13,31
381,2023/08/19,1200,4,60
382,2023/08/20,3000,9,53
383,2023/08/21,900,10,40
384,2023/08/22,1586,74,50
385,2023/08/23,1712,31,69
386,2023/08/25,800,11,64
387,2023/08/26,3000,9,70
388,2023/08/26,300,25,33
389,2023/08/27,3816,48,27
390,2023/08/28,3816,48,32
391,2023/08/30,544,58,40
392,2023/08/30,3000,9,39
393,2023/09/01,150,6,6
394,2023/09/01,3953,33,59
395,2023/09/03,3198,69,41
396,2023/09/04,900,10,35
397,2023/09/04,2500,2,4
398,2023/09/05,2724,62,74
399,2023/09/07,2701,57,38
400,2023/09/08,404,65,28
401,2023/09/09,1688,54,29
402,2023/09/09,1526,64,75
403,2023/09/10,2486,27,63
404,2023/09/12,150,6,21
405,2023/09/13,544,58,25
406,2023/09/13,988,82,62
407,2023/09/14,300,25,25
408,2023/09/16,50,22,21
409,2023/09/16,4106,53,15
410,2023/09/17,150,18,13
411,2023/09/18,1957,50,15
412,2023/09/19,912,66,59
413,2023/09/21,2229,51,74
414,2023/09/21,2981,70,34
415,2023/09/22,1074,90,13
416,2023/09/23,2229,51,42
417,2023/09/24,716,72,17
418,2023/09/25,1171,88,54
419,2023/09/26,1486,43,38
420,2023/09/27,1957,50,30
421,2023/09/29,1200,13,6
422,2023/09/29,500,12,28
423,2023/10/01,3000,9,49
424,2023/10/01,1526,64,52
425,2023/10/03,4944,49,53
426,2023/10/03,544,58,13
427,2023/10/04,1171,88,57
428,2023/10/05,4732,29,35
429,2023/10/06,4149,38,57
430,2023/10/07,277,75,71
431,2023/10/09,900,10,66
432,2023/10/09,2008,60,35
433,2023/10/10,1171,88,5
434,2023/10/11,277,75,3
435,2023/10/12,700,14,70
436,2023/10/13,1409,95,62
437,2023/10/14,2270,26,11
438,2023/10/16,3669,35,51
439,2023/10/16,4876,32,71
440,2023/10/17,1200,17,26
441,2023/10/18,4944,49,61
442,2023/10/20,1537,67,54
443,2023/10/20,1486,43,4
444,2023/10/21,4106,53,4
445,2023/10/22,1957,50,22
446,2023/10/23,1990,45,63
447,2023/10/24,1503,39,39
448,2023/10/26,1200,4,21
449,2023/10/26,300,25,47
450,2023/10/27,858,30,13
287,2023/05/17,3669,35,18
59,2023/02/28,20,23,47
446,2023/10/23,1990,45,63
279,2023/05/09,1503,39,57
208,2023/02/28,2500,2,68
155,2023/01/06,1200,4,48
324,2023/06/23,1526,64,40
367,2023/08/05,1800,8,11
301,2023/05/31,3396,44,15
447,2023/10/24,1503,39,39
